"Movies_name","Movies_url","Movies_Amount","Movies_Genre","Movies_Metascore","Movies_Rating"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt","$28.34M","Drama","80 Metascore","9.3"
"The Godfather","https://www.imdb.com/title/tt0068646/?ref_=adv_li_tt","$134.97M","Crime, Drama","100 Metascore","9.2"
"Joker","https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt","","Crime, Drama, Thriller","58 Metascore","9.0"
"The Dark Knight","https://www.imdb.com/title/tt0468569/?ref_=adv_li_tt","$534.86M","Action, Crime, Drama","84 Metascore","9.0"
"The Godfather: Part II","https://www.imdb.com/title/tt0071562/?ref_=adv_li_tt","$57.30M","Crime, Drama","90 Metascore","9.0"
"The Lord of the Rings: The Return of the King","https://www.imdb.com/title/tt0167260/?ref_=adv_li_tt","$377.85M","Adventure, Drama, Fantasy","94 Metascore","8.9"
"Pulp Fiction","https://www.imdb.com/title/tt0110912/?ref_=adv_li_tt","$107.93M","Crime, Drama","94 Metascore","8.9"
"Schindler's List","https://www.imdb.com/title/tt0108052/?ref_=adv_li_tt","$96.90M","Biography, Drama, History","94 Metascore","8.9"
"12 Angry Men","https://www.imdb.com/title/tt0050083/?ref_=adv_li_tt","$4.36M","Drama","96 Metascore","8.9"
"Inception","https://www.imdb.com/title/tt1375666/?ref_=adv_li_tt","$292.58M","Action, Adventure, Sci-Fi","74 Metascore","8.8"
"Fight Club","https://www.imdb.com/title/tt0137523/?ref_=adv_li_tt","$37.03M","Drama","66 Metascore","8.8"
"The Lord of the Rings: The Fellowship of the Ring","https://www.imdb.com/title/tt0120737/?ref_=adv_li_tt","$315.54M","Adventure, Drama, Fantasy","92 Metascore","8.8"
"Forrest Gump","https://www.imdb.com/title/tt0109830/?ref_=adv_li_tt","$330.25M","Drama, Romance","82 Metascore","8.8"
"The Good, the Bad and the Ugly","https://www.imdb.com/title/tt0060196/?ref_=adv_li_tt","$6.10M","Western","90 Metascore","8.8"
"Drishyam","https://www.imdb.com/title/tt3417422/?ref_=adv_li_tt","","Crime, Drama, Thriller","","8.7"
"The Lord of the Rings: The Two Towers","https://www.imdb.com/title/tt0167261/?ref_=adv_li_tt","$342.55M","Adventure, Drama, Fantasy","87 Metascore","8.7"
"The Matrix","https://www.imdb.com/title/tt0133093/?ref_=adv_li_tt","$171.48M","Action, Sci-Fi","73 Metascore","8.7"
"Goodfellas","https://www.imdb.com/title/tt0099685/?ref_=adv_li_tt","$46.84M","Biography, Crime, Drama","89 Metascore","8.7"
"Star Wars: Episode V - The Empire Strikes Back","https://www.imdb.com/title/tt0080684/?ref_=adv_li_tt","$290.48M","Action, Adventure, Fantasy","82 Metascore","8.7"
"One Flew Over the Cuckoo's Nest","https://www.imdb.com/title/tt0073486/?ref_=adv_li_tt","$112.00M","Drama","83 Metascore","8.7"
"Harakiri","https://www.imdb.com/title/tt0056058/?ref_=adv_li_tt","","Drama, History","85 Metascore","8.7"
"Avengers: Endgame","https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt","$858.37M","Action, Adventure, Sci-Fi","78 Metascore","8.6"
"Interstellar","https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt","$188.02M","Adventure, Drama, Sci-Fi","74 Metascore","8.6"
"City of God","https://www.imdb.com/title/tt0317248/?ref_=adv_li_tt","$7.56M","Crime, Drama","79 Metascore","8.6"
"Spirited Away","https://www.imdb.com/title/tt0245429/?ref_=adv_li_tt","$10.06M","Animation, Adventure, Family","96 Metascore","8.6"
"Saving Private Ryan","https://www.imdb.com/title/tt0120815/?ref_=adv_li_tt","$216.54M","Drama, War","91 Metascore","8.6"
"The Green Mile","https://www.imdb.com/title/tt0120689/?ref_=adv_li_tt","$136.80M","Crime, Drama, Fantasy","61 Metascore","8.6"
"Life Is Beautiful","https://www.imdb.com/title/tt0118799/?ref_=adv_li_tt","$57.60M","Comedy, Drama, Romance","59 Metascore","8.6"
"Se7en","https://www.imdb.com/title/tt0114369/?ref_=adv_li_tt","$100.13M","Crime, Drama, Mystery","65 Metascore","8.6"
"The Silence of the Lambs","https://www.imdb.com/title/tt0102926/?ref_=adv_li_tt","$130.74M","Crime, Drama, Thriller","85 Metascore","8.6"
"Star Wars: Episode IV - A New Hope","https://www.imdb.com/title/tt0076759/?ref_=adv_li_tt","$322.74M","Action, Adventure, Fantasy","90 Metascore","8.6"
"Seven Samurai","https://www.imdb.com/title/tt0047478/?ref_=adv_li_tt","$0.27M","Adventure, Drama","98 Metascore","8.6"
"It's a Wonderful Life","https://www.imdb.com/title/tt0038650/?ref_=adv_li_tt","","Drama, Family, Fantasy","89 Metascore","8.6"
"Parasite","https://www.imdb.com/title/tt6751668/?ref_=adv_li_tt","","Comedy, Drama, Thriller","92 Metascore","8.5"
"Avengers: Infinity War","https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt","$678.82M","Action, Adventure, Sci-Fi","68 Metascore","8.5"
"Whiplash","https://www.imdb.com/title/tt2582802/?ref_=adv_li_tt","$13.09M","Drama, Music","88 Metascore","8.5"
"The Intouchables","https://www.imdb.com/title/tt1675434/?ref_=adv_li_tt","$13.18M","Biography, Comedy, Drama","57 Metascore","8.5"
"The Prestige","https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt","$53.09M","Drama, Mystery, Sci-Fi","66 Metascore","8.5"
"The Departed","https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt","$132.38M","Crime, Drama, Thriller","85 Metascore","8.5"
"The Pianist","https://www.imdb.com/title/tt0253474/?ref_=adv_li_tt","$32.57M","Biography, Drama, Music","85 Metascore","8.5"
"Gladiator","https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt","$187.71M","Action, Adventure, Drama","67 Metascore","8.5"
"American History X","https://www.imdb.com/title/tt0120586/?ref_=adv_li_tt","$6.72M","Drama","62 Metascore","8.5"
"The Usual Suspects","https://www.imdb.com/title/tt0114814/?ref_=adv_li_tt","$23.34M","Crime, Mystery, Thriller","77 Metascore","8.5"
"Léon: The Professional","https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt","$19.50M","Action, Crime, Drama","64 Metascore","8.5"
"The Lion King","https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt","$422.78M","Animation, Adventure, Drama","88 Metascore","8.5"
"Terminator 2: Judgment Day","https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt","$204.84M","Action, Sci-Fi","75 Metascore","8.5"
"Cinema Paradiso","https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt","$11.99M","Drama","80 Metascore","8.5"
"Grave of the Fireflies","https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt","","Animation, Drama, War","","8.5"
"Back to the Future","https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt","$210.61M","Adventure, Comedy, Sci-Fi","87 Metascore","8.5"
"Once Upon a Time in the West","https://www.imdb.com/title/tt0064116/?ref_=adv_li_tt","$5.32M","Western","80 Metascore","8.5"
"Psycho","https://www.imdb.com/title/tt0054215/?ref_=adv_li_tt","$32.00M","Horror, Mystery, Thriller","97 Metascore","8.5"
"Rear Window","https://www.imdb.com/title/tt0047396/?ref_=adv_li_tt","$36.76M","Mystery, Thriller","100 Metascore","8.5"
"Casablanca","https://www.imdb.com/title/tt0034583/?ref_=adv_li_tt","$1.02M","Drama, Romance, War","100 Metascore","8.5"
"The Great Dictator","https://www.imdb.com/title/tt0032553/?ref_=adv_li_tt","","Comedy, Drama, War","","8.5"
"Modern Times","https://www.imdb.com/title/tt0027977/?ref_=adv_li_tt","$0.16M","Comedy, Drama, Family","96 Metascore","8.5"
"City Lights","https://www.imdb.com/title/tt0021749/?ref_=adv_li_tt","$0.02M","Comedy, Drama, Romance","99 Metascore","8.5"
"Capernaum","https://www.imdb.com/title/tt8267604/?ref_=adv_li_tt","$1.66M","Drama","75 Metascore","8.4"
"Andhadhun","https://www.imdb.com/title/tt8108198/?ref_=adv_li_tt","$1.19M","Crime, Thriller","","8.4"
"Your Name.","https://www.imdb.com/title/tt5311514/?ref_=adv_li_tt","$5.02M","Animation, Drama, Fantasy","79 Metascore","8.4"
"Dangal","https://www.imdb.com/title/tt5074352/?ref_=adv_li_tt","$12.39M","Action, Biography, Drama","","8.4"
"Spider-Man: Into the Spider-Verse","https://www.imdb.com/title/tt4633694/?ref_=adv_li_tt","$190.24M","Animation, Action, Adventure","87 Metascore","8.4"
"Coco","https://www.imdb.com/title/tt2380307/?ref_=adv_li_tt","$209.73M","Animation, Adventure, Family","81 Metascore","8.4"
"Django Unchained","https://www.imdb.com/title/tt1853728/?ref_=adv_li_tt","$162.81M","Drama, Western","81 Metascore","8.4"
"The Dark Knight Rises","https://www.imdb.com/title/tt1345836/?ref_=adv_li_tt","$448.14M","Action, Thriller","78 Metascore","8.4"
"3 Idiots","https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt","$6.53M","Comedy, Drama","67 Metascore","8.4"
"Like Stars on Earth","https://www.imdb.com/title/tt0986264/?ref_=adv_li_tt","$1.22M","Drama, Family","","8.4"
"WALL·E","https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt","$223.81M","Animation, Adventure, Family","95 Metascore","8.4"
"The Lives of Others","https://www.imdb.com/title/tt0405094/?ref_=adv_li_tt","$11.29M","Drama, Thriller","89 Metascore","8.4"
"Oldboy","https://www.imdb.com/title/tt0364569/?ref_=adv_li_tt","$0.71M","Action, Drama, Mystery","77 Metascore","8.4"
"Memento","https://www.imdb.com/title/tt0209144/?ref_=adv_li_tt","$25.54M","Mystery, Thriller","80 Metascore","8.4"
"Princess Mononoke","https://www.imdb.com/title/tt0119698/?ref_=adv_li_tt","$2.38M","Animation, Adventure, Fantasy","76 Metascore","8.4"
"Aliens","https://www.imdb.com/title/tt0090605/?ref_=adv_li_tt","$85.16M","Action, Adventure, Sci-Fi","84 Metascore","8.4"
"Once Upon a Time in America","https://www.imdb.com/title/tt0087843/?ref_=adv_li_tt","$5.32M","Crime, Drama","","8.4"
"Raiders of the Lost Ark","https://www.imdb.com/title/tt0082971/?ref_=adv_li_tt","$248.16M","Action, Adventure","85 Metascore","8.4"
"The Shining","https://www.imdb.com/title/tt0081505/?ref_=adv_li_tt","$44.02M","Drama, Horror","66 Metascore","8.4"
"Apocalypse Now","https://www.imdb.com/title/tt0078788/?ref_=adv_li_tt","$83.47M","Drama, Mystery, War","94 Metascore","8.4"
"Alien","https://www.imdb.com/title/tt0078748/?ref_=adv_li_tt","$78.90M","Horror, Sci-Fi","89 Metascore","8.4"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","https://www.imdb.com/title/tt0057012/?ref_=adv_li_tt","$0.28M","Comedy","97 Metascore","8.4"
